title,link,text,date
永久珍藏，无上光荣！西南财经大学迎领天安门广场国旗,../info/1003/108731.htm,永久珍藏，无上光荣！西南财经大学迎领天安门广场国旗,2024.09.07
学校举行2024级新生家长会,../info/1003/108711.htm,学校举行2024级新生家长会,2024.09.05
2024级新西财人，“热”烈欢迎你们！,../info/1003/108681.htm,2024级新西财人，“热”烈欢迎你们！,2024.09.04
学校开展新学期校园安全检查工作,../info/1003/108651.htm,学校开展新学期校园安全检查工作,2024.09.01
学校举行2024年秋季学期中层干部会议,../info/1003/108661.htm,学校举行2024年秋季学期中层干部会议,2024.09.01
西南财经大学宁夏校友会成立,../info/1003/108671.htm,西南财经大学宁夏校友会成立,2024.09.01
学校2024级新生辅导员培训会顺利举行,../info/1003/108641.htm,学校2024级新生辅导员培训会顺利举行,2024.09.01
学校教师荣获全国高校青年教师教学竞赛三等奖,../info/1003/108701.htm,学校教师荣获全国高校青年教师教学竞赛三等奖,2024.08.31
西南财经大学附属幼儿园获评“成都市一级幼儿园”,../info/1003/108621.htm,西南财经大学附属幼儿园获评“成都市一级幼儿园”,2024.08.31
学校足球队荣获2024年中国-东盟学生青少年足球邀请赛冠军,../info/1003/108601.htm,学校足球队荣获2024年中国-东盟学生青少年足球邀请赛冠军,2024.08.30
学校与中经城投建设集团有限公司签署全面战略合作协议,../info/1003/108591.htm,学校与中经城投建设集团有限公司签署全面战略合作协议,2024.08.29
学校举行“职业发展支持计划”——第四期领导干部履职能力培训班,../info/1003/108611.htm,学校举行“职业发展支持计划”——第四期领导干部履职能力培训班,2024.08.29
学校获批41项国家自然科学基金项目，立项数量位居全国同类院校前列,../info/1003/108581.htm,学校获批41项国家自然科学基金项目，立项数量位居全国同类院校前列,2024.08.26
“多丽丝·莱辛与跨界”国际学术研讨会暨英语学科建设院长论坛在我校成功举办,../info/1003/109611.htm,“多丽丝·莱辛与跨界”国际学术研讨会暨英语学科建设院长论坛在我校成...,2024.10.21
学校成功举办2024第二届全国人工智能应用场景创新挑战赛智能金融专项晋级赛,../info/1003/109551.htm,学校成功举办2024第二届全国人工智能应用场景创新挑战赛智能金融专项...,2024.10.21
中国人民解放军成都资金集中收付管理中心业务骨干素质提升班在我校顺利举办,../info/1003/109621.htm,中国人民解放军成都资金集中收付管理中心业务骨干素质提升班在我校顺...,2024.10.20
党的二十届三中全会精神一体化融入大中小学思政课研讨活动暨四川省大中小学思政课一体化（西南财经大学）共同体建设工作推进会召开,../info/1003/109601.htm,党的二十届三中全会精神一体化融入大中小学思政课研讨活动暨四川省大...,2024.10.19
四川省委统战部副部长张荣一行来校调研,../info/1003/109541.htm,四川省委统战部副部长张荣一行来校调研,2024.10.19
菲尔兹奖得主埃菲·杰曼诺夫教授受邀来校作学术讲座,../info/1003/109511.htm,菲尔兹奖得主埃菲·杰曼诺夫教授受邀来校作学术讲座,2024.10.18
“识五谷·秀光盘”——学校圆满举办2024年世界粮食日及全国粮食安全宣传周主题活动,../info/1003/109591.htm,“识五谷·秀光盘”——学校圆满举办2024年世界粮食日及全国粮食安全宣...,2024.10.18
学校召开新一届本科教学督导组工作会议,../info/1003/109491.htm,学校召开新一届本科教学督导组工作会议,2024.10.18
新疆财经大学党委副书记、校长居来提·吐尔地一行来校访问,../info/1003/109521.htm,新疆财经大学党委副书记、校长居来提·吐尔地一行来校访问,2024.10.18
学校召开校领导联系高层次人才恳谈会,../info/1003/109501.htm,学校召开校领导联系高层次人才恳谈会,2024.10.17
校领导带队赴西安电子科技大学调研交流,../info/1003/109481.htm,校领导带队赴西安电子科技大学调研交流,2024.10.16
教育部直属高校教师职称评审监管工作专家组现场监管西南财经大学职称评审工作,../info/1003/109451.htm,教育部直属高校教师职称评审监管工作专家组现场监管西南财经大学职称...,2024.10.15
学校获批4项2024年省级大学生校外实践教育基地建设项目,../info/1003/109461.htm,学校获批4项2024年省级大学生校外实践教育基地建设项目,2024.10.15
学校获批首批教育部哲学社会科学创新团队,../info/1003/109431.htm,学校获批首批教育部哲学社会科学创新团队,2024.10.14
《成渝地区双城经济圈发展研究报告》（2023-2024）正式出版,../info/1003/109421.htm,《成渝地区双城经济圈发展研究报告》（2023-2024）正式出版,2024.10.12
学校召开学生心理工作专题培训会,../info/1003/109411.htm,学校召开学生心理工作专题培训会,2024.10.12
学校工会委员会荣获“全国模范职工之家”称号,../info/1003/109401.htm,学校工会委员会荣获“全国模范职工之家”称号,2024.10.12
学校举办2025届毕业生秋季大型双选会,../info/1003/109381.htm,学校举办2025届毕业生秋季大型双选会,2024.10.11
2024年“汉语桥”印度尼西亚教育工作者访华团开营仪式顺利举行,../info/1003/109441.htm,2024年“汉语桥”印度尼西亚教育工作者访华团开营仪式顺利举行,2024.10.11
学校银龄教师所属团队获评“全国民族团结进步模范集体”,../info/1003/109371.htm,学校银龄教师所属团队获评“全国民族团结进步模范集体”,2024.10.11
赵建军带队赴金川县调研定点帮扶工作,../info/1003/109391.htm,赵建军带队赴金川县调研定点帮扶工作,2024.10.11
赵建军与建行研修中心（研究院）王锴一行座谈交流,../info/1003/109361.htm,赵建军与建行研修中心（研究院）王锴一行座谈交流,2024.10.11
学校习近平经济思想研究院（一流学科培优集成创新平台）成果发布会成功举行,../info/1003/109321.htm,学校习近平经济思想研究院（一流学科培优集成创新平台）成果发布会成...,2024.10.09
学校召开应用经济学学科建设专题研讨会,../info/1003/109331.htm,学校召开应用经济学学科建设专题研讨会,2024.10.08
祝福祖国！学校举行庆祝中华人民共和国成立75周年升国旗仪式,../info/1003/109281.htm,祝福祖国！学校举行庆祝中华人民共和国成立75周年升国旗仪式,2024.10.01
学校召开中国共产党西南财经大学第十四次代表大会筹备工作领导小组会议暨“两委”报告起草组会议,../info/1003/109271.htm,学校召开中国共产党西南财经大学第十四次代表大会筹备工作领导小组会...,2024.09.30
学校获批设立国家级专业技术人员继续教育基地,../info/1003/109261.htm,学校获批设立国家级专业技术人员继续教育基地,2024.09.30
学校举行庆祝中华人民共和国成立75周年暨学生表彰大会,../info/1003/109191.htm,学校举行庆祝中华人民共和国成立75周年暨学生表彰大会,2024.09.29
学校党委开展走访慰问活动,../info/1003/109201.htm,学校党委开展走访慰问活动,2024.09.29
学校外籍专家受邀参加外国专家座谈会及庆祝中华人民共和国成立75周年外国专家招待会,../info/1003/109251.htm,学校外籍专家受邀参加外国专家座谈会及庆祝中华人民共和国成立75周年...,2024.09.28
学校召开2024年秋季学期学生工作会议,../info/1003/109231.htm,学校召开2024年秋季学期学生工作会议,2024.09.28
学校召开金融安全与行为大数据教育部哲学社会科学实验室和智能金融教育部工程研究中心建设工作推进会,../info/1003/109211.htm,学校召开金融安全与行为大数据教育部哲学社会科学实验室和智能金融教...,2024.09.28
学校与中国人民银行金融研究所签署战略合作协议,../info/1003/109181.htm,学校与中国人民银行金融研究所签署战略合作协议,2024.09.26
学校教师在全省高校“形势与政策”课教学大练兵比赛中荣获佳绩,../info/1003/109241.htm,学校教师在全省高校“形势与政策”课教学大练兵比赛中荣获佳绩,2024.09.26
学校召开2024年“一校一策”工作调度会,../info/1003/109171.htm,学校召开2024年“一校一策”工作调度会,2024.09.26
第三届成渝地区双城经济圈发展论坛在成都举行,../info/1003/110051.htm,第三届成渝地区双城经济圈发展论坛在成都举行,2024.11.16
学校第十三届纪委召开十九次全体委员会议,../info/1003/110041.htm,学校第十三届纪委召开十九次全体委员会议,2024.11.16
学校与温江消防救援大队联合举行2024年消防应急疏散演练暨校地消防合作共建协议签约仪式,../info/1003/110021.htm,学校与温江消防救援大队联合举行2024年消防应急疏散演练暨校地消防合...,2024.11.16
学校17部教材入选第一批四川省“十四五”普通高等教育本科规划教材书目,../info/1003/109981.htm,学校17部教材入选第一批四川省“十四五”普通高等教育本科规划教材书目,2024.11.13
“新时代·好记者”全国巡讲活动走进西南财经大学,../info/1003/109931.htm,“新时代·好记者”全国巡讲活动走进西南财经大学,2024.11.12
河南校友会2024年年会成功举办,../info/1003/110011.htm,河南校友会2024年年会成功举办,2024.11.12
山东校友会换届大会暨喜迎母校百年华诞联谊会成功举行,../info/1003/110031.htm,山东校友会换届大会暨喜迎母校百年华诞联谊会成功举行,2024.11.11
赵建军带队走访中国建设银行总行并看望校友,../info/1003/109921.htm,赵建军带队走访中国建设银行总行并看望校友,2024.11.11
学校召开新加坡校友交流与发展座谈会,../info/1003/109961.htm,学校召开新加坡校友交流与发展座谈会,2024.11.11
应用经济学博士研究生学习党的二十届三中全会精神专题研讨会暨联合主题党日活动举行,../info/1003/109941.htm,应用经济学博士研究生学习党的二十届三中全会精神专题研讨会暨联合主...,2024.11.11
学校第七届国际金融科技论坛在新加坡召开,../info/1003/109891.htm,学校第七届国际金融科技论坛在新加坡召开,2024.11.11
校领导带队赴招商银行成都分行座谈交流、看望校友,../info/1003/109971.htm,校领导带队赴招商银行成都分行座谈交流、看望校友,2024.11.07
天津财经大学副校长韩少波一行到访我校,../info/1003/109881.htm,天津财经大学副校长韩少波一行到访我校,2024.11.06
中国社会科学杂志社一行来校调研座谈,../info/1003/109911.htm,中国社会科学杂志社一行来校调研座谈,2024.11.06
2024年“菁融计划”实习项目总结暨表彰大会成功举行,../info/1003/109901.htm,2024年“菁融计划”实习项目总结暨表彰大会成功举行,2024.11.06
学校与上海证券交易所、中国证券监督管理委员会四川监管局、中国金融期货交易所、国金证券股份有限公司、华西期货有限责任公司签订合作备忘录,../info/1003/109871.htm,学校与上海证券交易所、中国证券监督管理委员会四川监管局、中国金融...,2024.11.06
“新质生产力、数智财务与金融高质量发展”会议暨成渝双城经济圈科创CEO训练营圆满举行,../info/1003/109851.htm,“新质生产力、数智财务与金融高质量发展”会议暨成渝双城经济圈科创C...,2024.11.05
学校获批四川省基础学科拔尖学生培养基地,../info/1003/109841.htm,学校获批四川省基础学科拔尖学生培养基地,2024.11.05
赵建军应邀在中国高等教育学会高等财经教育分会2024年学术年会作主旨演讲,../info/1003/109821.htm,赵建军应邀在中国高等教育学会高等财经教育分会2024年学术年会作主旨...,2024.11.04
校领导带队赴长三角地区访企拓岗、看望校友,../info/1003/109831.htm,校领导带队赴长三角地区访企拓岗、看望校友,2024.11.04
学校入选全国“企业（单位）落实食品安全主体责任创新实践典型案例”,../info/1003/109811.htm,学校入选全国“企业（单位）落实食品安全主体责任创新实践典型案例”,2024.11.04
校领导率团访问德国、北马其顿、西班牙,../info/1003/109801.htm,校领导率团访问德国、北马其顿、西班牙,2024.11.01
学校成功举办第七届“成都八零”全球金融科技产品设计与研发大赛,../info/1003/109791.htm,学校成功举办第七届“成都八零”全球金融科技产品设计与研发大赛,2024.10.31
贵州财经大学党委副书记彭洁一行到访我校,../info/1003/109781.htm,贵州财经大学党委副书记彭洁一行到访我校,2024.10.31
